ID,Citation contexte (FR),Speaker,Type,n_segs,segments,audio_start_s,Référence trad. CALQUE (EN),Référence trad. IDIOMATIC (EN),whisper_en_per_seg,whisper_en_cont,xlsr_en,bleu_whisper_per_seg_calque,chrf_whisper_per_seg_calque,ter_whisper_per_seg_calque,bleu_whisper_per_seg_idiomatic,chrf_whisper_per_seg_idiomatic,ter_whisper_per_seg_idiomatic,bleu_whisper_cont_calque,chrf_whisper_cont_calque,ter_whisper_cont_calque,bleu_whisper_cont_idiomatic,chrf_whisper_cont_idiomatic,ter_whisper_cont_idiomatic,bleu_xlsr_calque,chrf_xlsr_calque,ter_xlsr_calque,bleu_xlsr_idiomatic,chrf_xlsr_idiomatic,ter_xlsr_idiomatic,comet_whisper_per_seg_calque,comet_whisper_per_seg_idiomatic,comet_whisper_cont_calque,comet_whisper_cont_idiomatic,comet_xlsr_calque,comet_xlsr_idiomatic
L11,enfin moi le peu que je connais de restos dans le onzième en tous cas des petites restos quoi simples on mange mal,spk1,gauche,2,seg_0157 + seg_0158,470.48,well me the little I know of restaurants in the eleventh in any case the small simple ones the food is bad,well from the little I know of restaurants in the eleventh at least the small simple ones the food is bad,"I don't know much about restaurants in the 11th. In any case small restaurants, simple, we eat badly.","Well, the few restaurants I know in the 11th, in any case, small restaurants, simple, we eat badly.","I can only know myself, Resta in the 11th in the eleven meme amongst the eleventh. However, there are little small restaurants, what simple, we eat badly.",12.2859,40.3317,68.1818,7.9464,35.4673,80.9524,9.8493,40.0521,63.6364,5.45,34.1375,71.4286,4.1806,46.2295,100.0,4.0907,46.7834,109.5238,0.6461,0.6063,0.6975,0.6522,0.5086,0.4733
L12,oui oui mais moi je dirai très peu quand même,spk1,gauche,1,seg_0179,535.02,yes yes but me I would say very few really,yes yes but I would say very few really,"Yes, but I would say very little anyway.","Yes, but I would say very few anyway.","Yes, but I would say very little still.",29.0715,42.9011,50.0,41.1134,52.3993,44.4444,42.7287,51.2267,40.0,53.7285,61.416,33.3333,29.0715,42.1796,50.0,41.1134,51.7104,44.4444,0.7197,0.7309,0.8669,0.8999,0.6892,0.7112
L13,alors donc vraiment le mélange ça vous ça vous plaît,spk2,gauche,1,seg_0187,549.7,so the mix you you really do like it,so you really do like the mix,"So, really the mixture is complete.","So, really, the mixture, it has changed.","So, the mixture is really the same.",6.4139,32.812,88.8889,7.2679,37.883,85.7143,5.3002,31.292,100.0,4.9324,35.2498,100.0,6.2747,31.8763,77.7778,6.2747,36.1222,85.7143,0.5149,0.5912,0.4831,0.524,0.4825,0.5452
L14,sauf que moi j'ai eu enfin la malchance entre guillemets,spk1,gauche,1,seg_0201,601.88,except that me I had well the misfortune so to speak of going to a private school,except that I had well the misfortune so to speak of going to a private school,"Except that I had the bad luck, in quotes.","Yes, except that I, well, I had the bad luck, in quotes,","So I had the bad luck between between Gu Meg between between Guess between Gu Med Bet Bet Bet between Gu Me between between between Bet Bet Me between Bet between Bet Me Bet BetBet Bet Betme between Gu Gu Bet Betbet Bet Bet me Bet between between Me Me Bet between Gue between Gu Bet between Good Bet Bet bet Bet Bet Mel between between Go Bet Bet Am Bet Bet BE between between Guill Bet Betdes Bet Bet Mrs Gues Bet Bet God Bet Bet Des Des Des Me Me between Gu between Gu Gue Bet Bet At At At Finally The Bad Luck Bet Bet ” Bet Bet Gent Bet Bet Guedes Bet between Gui Bet Bet From Guedes between Gu Dame Bet Bet She Bet Bet Her Bet Bet Ms Gues between Guedesdes Bet Me Then Bet Bet Mine Bet Bet Till Me Bet Me Me Me? Bet Bet Ala Alas between between G Guedes from Bet Bet Miss Bet Bet Met Bet Bet Here Bet Bet My Me Me, Bet Bet at At At Last The Bad luck Bet Bet Of Bet Bet Ge Bet Bet Some Bet Bet Men Bet Bet Girls Bet Bett Bet Bet Gu Guedes Me Bet With Gu Me Bet Are Bet Bet Well Bet Bet Look Bet Bet ME Bet Bet Oh Alas Bet Me Do Me Me Where Bet Bet A lady Bet Bet De Me Me Does Me Me From Me Me At At Me Me Lady Bet Bet Besi Bet Bet Fi Bet Bet Fine Bet Bet Or Bet Bet Hmm Bet Bet Glen Bet Bet Beli Bet Bet Gren Bet Bet Come Bet Bet It Bet Bet Is Bet Bet Time Bet Bet Allah Bet Bet Sud Bet Bet Od Me Bet From Me Bet At Me Bet Second Bet Bet Again Bet Bet Women Bet Bet Deli Bet Bet Madame Bet Bet There Bet Bet Allas Bet between Guy Bet Bet Ben Bet Bet No Bet Bet App Bet Betol Bet Bet Se Bet Bet M Me Bet Be Bet Bet Bit Bet Bet Mer Bet Bet Times Bet Bet girl Bet Bet her Bet Bet Wow Bet Bet Who Me Me Too Bet Bet In Bet Bet Did Bet Bet About Bet Bet Mell Bet Bet Wo Bet Bet with Me Bet Miss Me Bet When Bet Bet Should Bet Bet Eh Bet Bet Ap Bet Betmely Bet Bet Soo Bet Bet Turn Bet Bet Bla Me Me Now Bet Bet alas Bet Bet Apart Bet Bet Trust Bet Bet Pu Bet Bet my Bet Bet Except Bet Bet Half Bet Bet Inter Bet Bet Mai Bet Bet somewhere Bet Bet Girl Bet Bet As Bet Bet Zwischen Bet Bet yer Bet Bet Heaven Bet Betse Bet Bet Mes Bet Bet Gand Bet BetMe Bet Bet Bet Bet Mere Bet Bet Will Bet between Me Bet",6.4962,20.6345,70.5882,15.7468,25.5809,68.75,7.1586,25.1846,82.3529,11.2038,27.3588,87.5,0.213,4.9279,2811.7647,0.2068,4.7706,2993.75,0.4709,0.4866,0.5182,0.5159,0.1688,0.1695
L15,à partir de là ses amis elle les elle revoit quand même des des copains blacks,spk1,gauche,2,seg_0257 + seg_0258,753.64,from there her friends she does see them again she does see Black friends,from there she still sees Black friends,"So from there, these years... She still sees black friends.","so from there, her friends, she still sees black friends,","From then onwards those years, those years of years. She still sees some of the black-and-white cops.",7.8594,34.97,85.7143,28.2956,69.6676,71.4286,10.2978,46.4244,78.5714,33.2602,72.5468,71.4286,2.2769,22.8223,107.1429,7.6584,38.3882,185.7143,0.5605,0.7288,0.6736,0.8078,0.4485,0.4818
L16,ma fille est rentrée elle a fait son lycée à Hélène Boucher,spk1,gauche,1,seg_0254,743.2,my daughter she came back she did her high school at Hélène Boucher,my daughter came back and did her high school at Hélène Boucher,My daughter went back to her high school in Hélène-Boucher.,"my daughter entered her high school at Hélène Boucher,","My daughter entered to kiss her high school in Helen and Helen’s high-me my girlfriend, I’ll my daughter.",15.3079,52.2283,53.8462,16.7648,55.0804,50.0,43.0734,68.1696,46.1538,47.6035,70.8874,41.6667,8.9617,38.4646,115.3846,9.3796,38.6623,108.3333,0.7912,0.8472,0.8013,0.8389,0.4028,0.414
L17,moi personnellement j'aurais plus peur euh de voilà de familles qui ont beaucoup de fric,spk1,gauche,2,seg_0285 + seg_0286,817.26,me personally I would be more afraid well of families that have a lot of money,personally I would be more afraid of families that have a lot of money,"Personally, I would be more afraid of... ...of famine. and that have a lot of money.","for me personally, I would be more afraid of families that have a lot of money, of families that have a lot of money, that...","Personally, I myself have more fears of “the fa-fafafa-fefefe. That Fat Fat Fat-fat? That fat-fa-fafefe? That’s... There are a lot of fries in the family, that make up a lot.",34.0791,68.0763,43.75,37.8635,76.472,42.8571,35.0061,76.4324,75.0,39.5518,82.066,92.8571,4.6209,32.2627,156.25,4.6209,33.0329,164.2857,0.5682,0.5573,0.6871,0.6827,0.3686,0.3443
L18,le l'école justement la vôtre et puis celle des enfants euh vous en avez plutôt de bons souvenirs,spk2,gauche,3,seg_289 + seg_290 + seg_0291,840.44,the the school speaking of yours and also the children's you have rather good memories of it,speaking of your school and the children's do you have rather fond memories of it,"School, the aim… N illustration ... I had quite good memories of it.","And so, the school, precisely, yours, since that of the children, yours, since that of the children, do you have any good memories or no memories at all?","So, the school is just like yours, yours. Then the children. Well, it’s more than good memories.",15.8445,30.1269,76.4706,9.6726,29.2724,86.6667,4.2239,47.2982,123.5294,5.0231,44.3459,146.6667,5.1543,44.4366,88.2353,2.1671,39.7309,113.3333,0.5418,0.5328,0.6006,0.6217,0.5404,0.5236
L19,alors vous c'était une école privée,spk2,gauche,1,seg_0293,847.62,so you it was a private school,so your school was a private school,So you are in a private school.,"So you, it was a private school, Catholic? A private school, Catholic, so in the mixed elementary, A private school, Catholic, so in the mixed elementary,","Levon was a private school. A private, catholic, private school.",25.8487,61.2763,42.8571,22.0896,51.8202,57.1429,11.3698,43.3085,300.0,7.316,43.0194,314.2857,17.7784,54.9532,114.2857,18.7983,57.8395,114.2857,0.7912,0.7799,0.5039,0.4866,0.5877,0.6159
L20,moi la pression je sais que j'ai pas connue,spk1,gauche,1,seg_0313,896.36,me the pressure I know I did not experience it,I know I did not experience that pressure,I didn't know the pressure.,I didn't know the pressure.,"I didn’t know how to feel the pressure, I did not know.",9.9115,39.7347,90.0,7.6541,34.7709,87.5,9.9115,39.7347,90.0,7.6541,34.7709,87.5,14.4589,42.9038,100.0,12.5712,38.8163,112.5,0.6391,0.6448,0.6391,0.6448,0.6242,0.576
L21,mes devoirs je me rappelle à peine en avoir fait,spk1,gauche,1,seg_0314,899.66,my homework I barely remember having done any,I barely remember doing any homework,I remember the pain of having done it.,"My homework, I don't remember having to do it,",I don’t regret having done it.,11.3396,40.4484,75.0,5.6698,28.2373,116.6667,11.2085,53.4756,62.5,4.9324,46.9452,116.6667,12.6007,26.8544,62.5,6.5673,11.8823,83.3333,0.476,0.4509,0.7356,0.6417,0.5319,0.5165
L22,moi je trouve que l'élémentaire fonctionne bien,spk2,gauche,1,seg_0333,961.38,me I think hat elementary school works well,I fthink that elementary school works well,I think the elementary works well.,"I think that elementary school works well,","Well, I think that the elemental is working well well, but the elementals do well well.",17.0261,55.2652,50.0,15.6197,57.426,57.1429,41.1134,86.271,37.5,54.1082,94.4772,28.5714,4.4808,35.9436,162.5,2.6643,40.1963,185.7143,0.8614,0.8938,0.893,0.9315,0.4821,0.4965
L24,je trouve ça très triste les années collège je trouve ça très très triste,spk1,gauche,2,seg_0345 + seg_0345,995.56,I find that very sad the middle school years I find that very very sad,I find the middle school years very sad,I find it very sad. I find it very sad.,"So I find that very sad, the years of college, I find that very, very sad. the years of college, I find that very, very sad.","Well, I find that very sad. I find this to be very sad for Anicholets.",10.5496,32.6332,60.0,9.5785,28.1922,87.5,19.9639,55.1114,106.6667,3.5155,32.2978,262.5,25.7723,47.7778,73.3333,6.0746,35.8511,137.5,0.6527,0.5143,0.6653,0.5101,0.5649,0.4304
L23,il y a un soutien pour quand même les enfants en difficulté moi je trouve,spk2,gauche,2,seg_0335 + seg_0336,966.96,there is support after all for children who are struggling me I think,I think that there is support for children who are struggling after all,There is support for children with disabilities. I find...,"that there is a real mix, there is a real support... I think so,",There is a support for children who are still in difficulty. I find myself.,15.1332,42.3148,53.8462,30.2664,45.7589,61.5385,6.0545,31.2707,84.6154,9.9177,36.5076,76.9231,19.5648,49.6841,61.5385,27.2259,52.211,69.2308,0.7256,0.7385,0.5322,0.5181,0.7091,0.678
L25,moi je pense qu'on peut pas rester assis,spk1,gauche,1,seg_0348,1010.38,me I think that you cannot stay seated,I think staying seated is not an option,I don't think we can sit down,I think we can't sit down,"Well, it’s true, we can’t stay sitting",6.7702,17.5107,87.5,6.7702,16.9936,87.5,11.6317,21.1495,75.0,11.6317,18.7826,75.0,4.7677,21.0531,87.5,0.0,15.9007,100.0,0.6173,0.5976,0.66,0.6155,0.7106,0.6669
L26,est-ce que pas moi je pense que si le parent aussi,spk1,gauche,1,seg_0373,1130.7,me I think that if the parent too,I think that if the parent too,I think that if the parent,"I think that if the parent also has to play the game today in the way you did at school, what my girlfriend was doing, you did at school, what my girlfriend was doing, she said to me, I do not care, he is big, he does what he wants,","I think that if the parents, as well as Saint-Éphephephe’s parents,",71.6531,82.1232,25.0,84.6482,88.4414,14.2857,8.014,36.0048,562.5,7.711,36.1857,628.5714,28.9178,63.225,87.5,28.9178,66.2909,85.7143,0.7634,0.7947,0.4683,0.4659,0.5225,0.5278
L27,il est grand il fait ce qu'il veut moi je vais pas regarder son cahier,spk1,gauche,2,seg_0374 + seg_0375,1137.08,he is grown up he does what he wants me I am not going to look at his notebook,he is grown up he does what he wants I am not going to look at his notebook,"he's tall, he does what he wants. I don't want to look at it without a notebook.","he is big, he does what he wants, I do not want to watch his notebook,","What I do for myself, my copies, my copy of my copy, me me, my me me me myself, mine mine my big... my riches, what who who who wants what what what who wants?... what who what who needs what what anyone who who what what whatever what what whom what what everything what what everyone what what that who who Who who who whatever whatever what whatever whatever whatever... what what the big... and what who whatever what who want what what w... what to what what... what... whatever what is what what if what what... what what — what what, what what’ what what with what what...... my mom, what... my big, what, my colo... my me, what my, my, what cooking, my... my fat, my myself, what that what what my big big, and what whatwhat what what this who who anything what what What what whatWhat what whatever what what else what what people who what whatever who who whom what who Who what what their what what? what what they what what all what what when what what which what what in what what everybody what what whose what what those what what Who who what...... what that whatever what... that what who whom who who... whatever whatever who what w what what from what what on what what rich what what ”... what, whatever what that... what whatever that what whatever...... my my my... what my my copie me my my copy what my myself what my copie what my whatever what my what my copy me my myself my my whatever my my myself myself my copie my my piece my my info what my mom what my... me my mine my my mom my my mine what my me what my coverage what my painting my my cou what my Mom my my what what mine my myself... my myself whatever my mine mine what what myself what what stuff my my boss what my mine... my... mine my me my me... my mine me, mine me me... mine mine mine me myself myself myself, me, me myself me me my, mine, my my me myself my me mine mine myself myself me, myself myself what mine mine, mine my mine, what mine what big big big... what grow what what king what what bigger... and whatever what everything whatever what What who who need what what where what whatW what what el what what riche what what! what what wealth what what doing what what W what what WHO what what at what whatw what what important what whatbig I thought I was looking over my shell.",25.3474,48.1883,68.4211,25.3474,49.5376,66.6667,26.1049,49.1207,47.3684,26.1049,50.5406,44.4444,0.1017,5.2167,2331.5789,0.0979,5.1162,2461.1111,0.5592,0.5429,0.7278,0.7452,0.2731,0.2526
L28,alors que vous vos parents n'avaient jamais surveillé les devoirs,spk2,gauche,1,seg_0377,1149.5,whereas you your parents had never monitored homework,whereas your parents had never monitored your homework,"while you, your parents, never survived.","While you, your parents, have never survived your homework?","When you, your parents, never woke up to your debts.",11.3396,32.4798,75.0,10.5527,32.2552,87.5,8.5166,43.8293,87.5,10.128,52.8065,75.0,7.3471,33.8657,112.5,7.3471,34.3891,100.0,0.553,0.4936,0.6454,0.5492,0.5408,0.4825
L29,enfin lui c'était sa langue maternelle à la maison par exemple,spk1,gauche,1,seg_0400,1239.52,well him it was his mother tongue at home for example,well it was his mother tongue at home for example,and that was his mother tongue at home.,"He was his mother tongue at school, for example.","Him, for example, was his maternal language at home.",47.0349,59.4834,54.5455,52.5624,63.0247,50.0,40.3528,64.3792,45.4545,40.3528,68.4831,40.0,12.1921,46.3196,72.7273,11.7312,48.3495,70.0,0.8722,0.8886,0.7871,0.7747,0.7836,0.7456
L30,alors les équipements culturels de quartier vous avez l'air d'en profiter beaucoup,spk2,gauche,1,seg_0442,1361.44,so the cultural amenities of the neighborhood you seem to take advantage of them a lot,so you seem to take advantage of the cultural amenities of the neighborhood a lot,"The cultural equipment of the neighborhood, you seem to enjoy it a lot.","So, the cultural equipment of the neighborhood, you seem to enjoy it a lot.","So, you seem to be taking advantage of the neighborhood’s cultural facilities.",19.353,49.5665,50.0,20.6872,52.3297,66.6667,18.4369,50.8645,50.0,18.4369,53.667,66.6667,13.926,59.0112,75.0,17.7871,61.9243,66.6667,0.7787,0.7322,0.7701,0.705,0.7515,0.7912
L31,la MJC dans mon souvenir c'est un beau souvenir,spk1,gauche,1,seg_0446,1387.0,the MJC in my memory it is a beautiful memory,in my memory the MJC is a beautiful memory,"The MJC is a beautiful memory for me,","The MJC, in my memory, it's a nice memory,","In my memoirs, the memzies is a nice reminder, a good memory in my memory,",31.7622,60.851,60.0,58.7395,69.7158,55.5556,17.2422,43.8647,60.0,17.2422,45.5436,77.7778,10.9349,37.2089,110.0,10.9349,36.0751,100.0,0.8503,0.8777,0.8538,0.8297,0.5785,0.5709
