ID,Speaker,Type,Citation contexte (FR),Référence trad. CALQUE (EN),Référence trad. IDIOMATIC (EN),whisper_fr,xlsr_fr,whisper_en_per_seg,whisper_en_cont,xlsr_en,n_segs,segments,audio_start_s
L12,spk1,gauche,oui oui mais moi je dirai très peu quand même,yes yes but me I would say very few really,yes yes but I would say very few really,"Oui, mais moi, je dirais très peu, quand même.",oui mais moi jlirai très peu quand même ,"Yes, but I would say very little anyway.","Yes, but I would say very few anyway.","Yes, but I would say very little still. ",1,seg_0179,535.02
L13,spk2,gauche,alors donc vraiment le mélange ça vous ça vous plaît,so the mix you you really do like it,so you really do like the mix,"Alors, vraiment le mélange, ça a un clé.",alorsc vraiment le mélange sara simblé,"So, really the mixture is complete.","So, really, the mixture, it has changed.","So, the mixture is really the same.",1,seg_0187,549.7
L14,spk1,gauche,sauf que moi j'ai eu enfin la malchance entre guillemets,except that me I had well the misfortune so to speak of going to a private school,except that I had well the misfortune so to speak of going to a private school,"Voilà, sauf que moi, j'ai eu la malchance, entre guillemets,",là sauf que moi j'ai eu enfin la malchance entre guimèdes,"Except that I had the bad luck, in quotes.","Yes, except that I, well, I had the bad luck, in quotes,","So I had the bad luck between between Gu Meg between between Guess between Gu Med Bet Bet Bet between Gu Me between between between Bet Bet Me between Bet between Bet Me Bet BetBet Bet Betme between Gu Gu Bet Betbet Bet Bet me Bet between between Me Me Bet between Gue between Gu Bet between Good Bet Bet bet Bet Bet Mel between between Go Bet Bet Am Bet Bet BE between between Guill Bet Betdes Bet Bet Mrs Gues Bet Bet God Bet Bet Des Des Des Me Me between Gu between Gu Gue Bet Bet At At At Finally The Bad Luck Bet Bet ” Bet Bet Gent Bet Bet Guedes Bet between Gui Bet Bet From Guedes between Gu Dame Bet Bet She Bet Bet Her Bet Bet Ms Gues between Guedesdes Bet Me Then Bet Bet Mine Bet Bet Till Me Bet Me Me Me? Bet Bet Ala Alas between between G Guedes from Bet Bet Miss Bet Bet Met Bet Bet Here Bet Bet My Me Me, Bet Bet at At At Last The Bad luck Bet Bet Of Bet Bet Ge Bet Bet Some Bet Bet Men Bet Bet Girls Bet Bett Bet Bet Gu Guedes Me Bet With Gu Me Bet Are Bet Bet Well Bet Bet Look Bet Bet ME Bet Bet Oh Alas Bet Me Do Me Me Where Bet Bet A lady Bet Bet De Me Me Does Me Me From Me Me At At Me Me Lady Bet Bet Besi Bet Bet Fi Bet Bet Fine Bet Bet Or Bet Bet Hmm Bet Bet Glen Bet Bet Beli Bet Bet Gren Bet Bet Come Bet Bet It Bet Bet Is Bet Bet Time Bet Bet Allah Bet Bet Sud Bet Bet Od Me Bet From Me Bet At Me Bet Second Bet Bet Again Bet Bet Women Bet Bet Deli Bet Bet Madame Bet Bet There Bet Bet Allas Bet between Guy Bet Bet Ben Bet Bet No Bet Bet App Bet Betol Bet Bet Se Bet Bet M Me Bet Be Bet Bet Bit Bet Bet Mer Bet Bet Times Bet Bet girl Bet Bet her Bet Bet Wow Bet Bet Who Me Me Too Bet Bet In Bet Bet Did Bet Bet About Bet Bet Mell Bet Bet Wo Bet Bet with Me Bet Miss Me Bet When Bet Bet Should Bet Bet Eh Bet Bet Ap Bet Betmely Bet Bet Soo Bet Bet Turn Bet Bet Bla Me Me Now Bet Bet alas Bet Bet Apart Bet Bet Trust Bet Bet Pu Bet Bet my Bet Bet Except Bet Bet Half Bet Bet Inter Bet Bet Mai Bet Bet somewhere Bet Bet Girl Bet Bet As Bet Bet Zwischen Bet Bet yer Bet Bet Heaven Bet Betse Bet Bet Mes Bet Bet Gand Bet BetMe Bet Bet Bet Bet Mere Bet Bet Will Bet between Me Bet",1,seg_0201,601.88
L15,spk1,gauche,à partir de là ses amis elle les elle revoit quand même des des copains blacks,from there her friends she does see them again she does see Black friends,from there she still sees Black friends,"Donc, à partir de là, ses amies, elles revoient quand même des copains blacks",donc à partir de là ces anes re ele revoit quand mêmecopains blaques,"So from there, these years... She still sees black friends.","so from there, her friends, she still sees black friends,","From then onwards those years, those years of years. She still sees some of the black-and-white cops.",2,seg_0257 + seg_0258,753.64
L16,spk1,gauche,ma fille est rentrée elle a fait son lycée à Hélène Boucher,my daughter she came back she did her high school at Hélène Boucher,my daughter came back and did her high school at Hélène Boucher,"Ma fille est rentrée à son lycée à Hélène Boucher,",ma file et rentre à feser sons lycée à elene-boucher,My daughter went back to her high school in Hélène-Boucher.,"my daughter entered her high school at Hélène Boucher,","My daughter entered to kiss her high school in Helen and Helen’s high-me my girlfriend, I’ll my daughter.",1,seg_0254,743.2
L17,spk1,gauche,moi personnellement j'aurais plus peur euh de voilà de familles qui ont beaucoup de fric,me personally I would be more afraid well of families that have a lot of money,personally I would be more afraid of families that have a lot of money,"Moi personnellement, j'aurais plus peur de... de familles qui ont beaucoup de fric que... ",moi personelement j'aurais plus peur de mala de fime mine qon beaucoup d'e frique que ,"Personally, I would be more afraid of... ...of famine. and that have a lot of money. ","for me personally, I would be more afraid of families that have a lot of money, of families that have a lot of money, that... ","Personally, I myself have more fears of “the fa-fafafa-fefefe. That Fat Fat Fat-fat? That fat-fa-fafefe? That’s... There are a lot of fries in the family, that make up a lot. ",2,seg_0285 + seg_0286,817.26
L18,spk2,gauche,le l'école justement la vôtre et puis celle des enfants euh vous en avez plutôt de bons souvenirs,the the school speaking of yours and also the children's you have rather good memories of it,speaking of your school and the children's do you have rather fond memories of it,"Et donc l'école justement, la vôtre, depuis celle des enfants,vous en avez plutôt de bons souvenirs ?",donc le lécole justement la poutre ju cele des enfants us en avez plutôt de bons souvenirs,"School, the aim… N illustration ... I had quite good memories of it.","And so, the school, precisely, yours, since that of the children, yours, since that of the children, do you have any good memories or no memories at all?","So, the school is just like yours, yours. Then the children. Well, it’s more than good memories.",3,seg_289 + seg_290 + seg_0291,840.44
L19,spk2,gauche,alors vous c'était une école privée,so you it was a private school,so your school was a private school,"Alors vous, c'était une école privée ?",cétait une école privée ,So you are in a private school. ,"So you, it was a private school, Catholic? A private school, Catholic, so in the mixed elementary, A private school, Catholic, so in the mixed elementary,","Levon was a private school. A private, catholic, private school.",1,seg_0293,847.62
L20,spk1,gauche,moi la pression je sais que j'ai pas connue,me the pressure I know I did not experience it,I know I did not experience that pressure,"Moi, la pression, je n'ai pas connue.",n la presion j'ai pas conu,I didn't know the pressure.,I didn't know the pressure.,"I didn’t know how to feel the pressure, I did not know.",1,seg_0313,896.36
L21,spk1,gauche,mes devoirs je me rappelle à peine en avoir fait,my homework I barely remember having done any,I barely remember doing any homework,"Mes devoirs, je me rappelle à peine en avoir fait.",une voir je men rapele à peine en avoir fait,I remember the pain of having done it.,"My homework, I don't remember having to do it,",I don’t regret having done it.,1,seg_0314,899.66
L22,spk2,gauche,moi je trouve que l'élémentaire fonctionne bien,me I think hat elementary school works well,I fthink that elementary school works well,"Moi, je trouve que l'élémentaire fonctionne bien,",je trouve que lélémentaire fonctione bien,I think the elementary works well.,"I think that elementary school works well,","Well, I think that the elemental is working well well, but the elementals do well well.",1,seg_0333,961.38
L24,spk1,gauche,je trouve ça très triste les années collège je trouve ça très très triste,I find that very sad the middle school years I find that very very sad,I find the middle school years very sad,"Voilà, je trouve ça très triste. Les années collèges, je trouve ça très très triste.",je trouve ça très triste es ani colège je trouve ça très très triste,I find it very sad. I find it very sad.,"So I find that very sad, the years of college, I find that very, very sad. the years of college, I find that very, very sad.","Well, I find that very sad. I find this to be very sad for Anicholets.",2,seg_0345 + seg_0345,995.56
L23,spk2,gauche,il y a un soutien pour quand même les enfants en difficulté moi je trouve,there is support after all for children who are struggling me I think,I think that there is support for children who are struggling after all,"Enfin, il y a un soutien pour quand même les enfants en difficulté, moi, je trouve.",il y a un soutien pour quand même les enfants dificulté un chode trop,There is support for children with disabilities. I find...,"that there is a real mix, there is a real support... I think so,",There is a support for children who are still in difficulty. I find myself.,2,seg_0335 + seg_0336,966.96
L25,spk1,gauche,moi je pense qu'on peut pas rester assis,me I think that you cannot stay seated,I think staying seated is not an option,"Moi, je pense qu'on ne peut pas rester assis",je pense quon peut pas rester aisi ,I don't think we can sit down,I think we can't sit down,"Well, it’s true, we can’t stay sitting",1,seg_0348,1010.38
L26,spk1,gauche,est-ce que pas moi je pense que si le parent aussi,me I think that if the parent too,I think that if the parent too,"Je pense que le parent, il faut que le parent ",jepense que si le parent ausi,I think that if the parent ,"I think that if the parent also has to play the game today in the way you did at school, what my girlfriend was doing, you did at school, what my girlfriend was doing, she said to me, I do not care, he is big, he does what he wants,","I think that if the parents, as well as Saint-Éphephephe’s parents, ",1,seg_0373,1130.7
L27,spk1,gauche,il est grand il fait ce qu'il veut moi je vais pas regarder son cahier,he is grown up he does what he wants me I am not going to look at his notebook,he is grown up he does what he wants I am not going to look at his notebook,"il est grand, il fait ce qu'il veut, je ne veux pas regarder son cahier",fouil est grand et chesqiveux n je vau pasrgardé sans cayède,"he's tall, he does what he wants. I don't want to look at it without a notebook.","he is big, he does what he wants, I do not want to watch his notebook,","What I do for myself, my copies, my copy of my copy, me me, my me me me myself, mine mine my big... my riches, what who who who wants what what what who wants?... what who what who needs what what anyone who who what what whatever what what whom what what everything what what everyone what what that who who Who who who whatever whatever what whatever whatever whatever... what what the big... and what who whatever what who want what what w... what to what what... what... whatever what is what what if what what... what what — what what, what what’ what what with what what...... my mom, what... my big, what, my colo... my me, what my, my, what cooking, my... my fat, my myself, what that what what my big big, and what whatwhat what what this who who anything what what What what whatWhat what whatever what what else what what people who what whatever who who whom what who Who what what their what what? what what they what what all what what when what what which what what in what what everybody what what whose what what those what what Who who what...... what that whatever what... that what who whom who who... whatever whatever who what w what what from what what on what what rich what what ”... what, whatever what that... what whatever that what whatever...... my my my... what my my copie me my my copy what my myself what my copie what my whatever what my what my copy me my myself my my whatever my my myself myself my copie my my piece my my info what my mom what my... me my mine my my mom my my mine what my me what my coverage what my painting my my cou what my Mom my my what what mine my myself... my myself whatever my mine mine what what myself what what stuff my my boss what my mine... my... mine my me my me... my mine me, mine me me... mine mine mine me myself myself myself, me, me myself me me my, mine, my my me myself my me mine mine myself myself me, myself myself what mine mine, mine my mine, what mine what big big big... what grow what what king what what bigger... and whatever what everything whatever what What who who need what what where what whatW what what el what what riche what what! what what wealth what what doing what what W what what WHO what what at what whatw what what important what whatbig I thought I was looking over my shell.",2,seg_0374 + seg_0375,1137.08
L28,spk2,gauche,alors que vous vos parents n'avaient jamais surveillé les devoirs,whereas you your parents had never monitored homework,whereas your parents had never monitored your homework,"Alors que vous, vos parents n'avaient jamais surveillé tes devoirs ?",lorsque vous vos parents navez jamais survélé,"while you, your parents, never survived.","While you, your parents, have never survived your homework?","When you, your parents, never woke up to your debts.",1,seg_0377,1149.5
L29,spk1,gauche,enfin lui c'était sa langue maternelle à la maison par exemple,well him it was his mother tongue at home for example,well it was his mother tongue at home for example,"Lui, c'était sa langue maternelle à la maison, par exemple.",ui c'était sa langue maternele à la maison par exemple,and that was his mother tongue at home.,"He was his mother tongue at school, for example.","Him, for example, was his maternal language at home.",1,seg_0400,1239.52
L30,spk2,gauche,alors les équipements culturels de quartier vous avez l'air d'en profiter beaucoup,so the cultural amenities of the neighborhood you seem to take advantage of them a lot,so you seem to take advantage of the cultural amenities of the neighborhood a lot,"Alors, les équipements culturels du quartier, vous avez l'air d'en profiter beaucoup. ",alors les équipements culturels du quartier vous avez lair den profiter beaucoup ,"The cultural equipment of the neighborhood, you seem to enjoy it a lot. ","So, the cultural equipment of the neighborhood, you seem to enjoy it a lot. ","So, you seem to be taking advantage of the neighborhood’s cultural facilities. ",1,seg_0442,1361.44
L31,spk1,gauche,la MJC dans mon souvenir c'est un beau souvenir,the MJC in my memory it is a beautiful memory,in my memory the MJC is a beautiful memory,"L'AMJC, dans mon souvenir, c'est un beau souvenir, ",lame j dans mon souvenir ces un beau souvenir ,"The MJC is a beautiful memory for me, ","The MJC, in my memory, it's a nice memory, ","In my memoirs, the memzies is a nice reminder, a good memory in my memory, ",1,seg_0446,1387.0
L32,spk1,gauche,voilà donc moi à mon époque oui ça fait deux trois ans,well so me back in my day yes it has been two or three years,well so back in my day actually it has been two or three years,"Donc moi, à mon époque, oui, ça fait deux, trois ans, ",onc moi à mon époque ui ça fait de trois ans ,"So at my time, it's been 2 or 3 years, ","so, at my time, yes, it's been two, three years, ","Well, for my time, indeed, I, my age, yes, it was two and three years, I was two three years - Well, I think, I’ve been three years I knew for, well, I know he’d taken three years to be a Guardian, but I know they’d kept a keeper for three years longer, I knew they took a guard guard for him for for, Well, For indeed, It’s being two three times — I’d — I knew he was a War Warwar War War War Guard, He’d A Guard, And for, That, I wasn’t three three — I thought for, I thought, He was a Guardian for for three three three-year — I knows that they gave him a Guardian Guardian Guardian, So, In fact, I actually, I really, I'd — Three Three Year — I think it’d for — A Good, Well Well, You’d For Actually, For Well, If Well, Well — Well Well — I, At Well, Now, I — Well — It’ Well, It Was T — I Inde, I My Time, Well I’ Well — All, I Well, And Well, Of Well, This — I — It Was Two Three Three — I Though, I Know He Had A War War Ad Ad Ad En En En Guard, Even Well, As Well, They Had Had A Guard Guard, I Guard Guard Guard — He Well, He Well Well Well No, He He Well — He He He — He — Well I — He Did A Guard — A Guard Ad Ad Guard, Who Well, With Well, The Well Well Guard, Well He — I Well Well He He Had Guard Guarded, I He He Guard Guards A Well, All Well, So Well Well I Well — — He We — He Last — He Cu Cu Cu — He Guard, A Guard Officer, He — Guard Guard Well, Who — Well He Well I Guard, All All All Well — So Well, From Well, Over Well, My Well, Your Well, Me, I I — I My Well — For — Well And Well — My — I Was Three Three Three And — — I I, I Was — I He — — — For All All Three — — All Well Well And — I So Well — That — I Fi From the front, I know that you have a Cap-a-Tup Cap Cap-Touts, trou trou trous, Trou trou trougois, trougoi trou trou go go... trou trou Trou trous trou trougou trou trou Gou trous... Trous trougou trou trougu trou trou Gues... trouou trou trou gou gou gou trous. trou trou Go go go go! trou troudou trou trouse trou trou Chus trous",1,seg_0451 ,1411.82
L34,spk1,gauche,c'est vrai que les livres jusqu'à maintenant je les achetais beaucoup,it's true that books up to now I bought them a lot,it's true that up till now I bought a lot of books,"C'est vrai que les livres, jusqu'à maintenant, je les achetais beaucoup.",récles livre jusqu'à mun ange je les acheté beaucoup,I've bought a lot of them.,It's true that I bought a lot of books until now.,"I would love to buy them until noon, I bought them a lot of things.",1,seg_0463,1450.7
L33,spk1,gauche,la bibliothèque c'était pour la musique et les et les DVD,the library it was for the music and the and the DVDs,the library was for music and DVDs,"la bibliothèque, c'était pour la musique et les DVD.",la ba bibliothèque c'était pour eux la musique et lestle db,It was for the music and the DVDs.,"because otherwise, the library was for music and DVDs.","otherwise else, the Bible Bible Library, Bible-the Bible-de Bible-school?... It was for the music and the DVD.",2,seg_0461 + seg_0462,1447.14
L35,spk1,gauche,non Bercy c'est ah non c'est c'est extrapolé là,no Bercy it is ah no it is it is outside my familiar area there,no Bercy is outside my familiar area,"Ah non, c'est extrapo les, là. ",anoncée xtrapolé la ,"No, it's extrapolated.","No, it's extrapolated, there. ","Come on, it’s spread out! Well, that’s exaggerated... ",1,seg_0498,1567.98
L36,spk2,gauche,alors euh les fêtes des voisins vous faites ça,so the neighborhood parties do you attend them,so do you attend the neighborhood parties,"La fête des voisins, vous faites ça ?",la fêite des voisins vous faites ça , The lack of neighbors? ,"The neighbors' festival, you do that? The neighbors' festival, you do that? ","Do you do this? What is the party of the neighbors’ neighbors? You are doing this, you are doing that. ",1,seg_0546,1744.18
L37,spk2,gauche,le quartier c'est les cafés donc aussi,the neighborhood it is the cafes too,the neighborhood is also the cafes,"Le quartier, c'est les cafés aussi.",rue ardi cez les cafés,The key is the coffee.,"The coffee shop is the coffee shop, so ...","Yes, Gartier, it’s the coffee, that’s all.",1,seg_0563,1812.97
L38,spk1,gauche,la fréquentation des cafés ou oui moi je trouve hein,the frequenting of cafes well yes me I find,the frequenting of cafes well yes I find,"La fréquentation des cafés ? Oui, moi je trouve.",la fréquentation des cafés oui mange trouve,"The coffee frequency? Yes, I think so.","The frequency of coffee? Yes, I think so.","Do you find coffees?... Do I find coffee?... Well, I find myself...",1,seg_0596,1910.39
L39,spk1,gauche,bon voilà moi je trouve que c'est très inconfortable,well there me I find it very uncomfortable,well I find it very uncomfortable,Moi je trouve que c'est très inconfortable,oemange trouve que cest très inconfortable,I find it very uncomfortable ,I find it very uncomfortable ,I think it’s very unacceptable,1,seg_0614,2014.51
L40,spk1,gauche,parce que les bons c'est peut-être trop cher pour moi,because the good ones it is maybe too expensive for me,because the good ones are maybe too expensive for me,"Enfin, parce que les bons sont peut-être trop chers pour moi.",mais parce que les bons sont êtres trop chers pour moi ,because the goods are too expensive for me. ,"Well, because the good ones are maybe too expensive for me.","It’s because the good goods are maybe too expensive for me, it’s hard goods for me.",1,seg_0628,2089-09-01 00:00:00
L41,spk1,gauche,moi je vais souvent parce que rapport qualité-prix c'est l'Extra Baule,me I go often because value for money it is Extra Baule,I often go because Extra Baule is good value for money,"Moi je vais souvent, parce que rapport qualité prix, c'est l'Extraball",vais souvent pursque le raport qualité prise cest l'extrabol,I often go because the quality-price ratio is the extra ball ,"I often go, because in terms of quality-price ratio, it's the Extra Ball",I often live in Paris because the highest quality report is the Extra Bull.,1,seg_0632,2110.49
L42,spk1,gauche,il y a des petits Turcs moi j'aime bien les petits turcs,there are some small Turkish restaurants me I really like the small Turkish restaurants,there are small Turkish restaurants that I really like,"il y a des petites turques, moi j'aime bien les petites turques.",piprail a des petites turs om moi jaime bien les petites tulants,"And then there are little turks, I like little turks.","And then there are the little turks, I like little turks.","And then, there are some small pieces that I like the little pieces...",1,seg_0637,2135.25
