segment_id,t_start,t_end,dur_s,whisper_fr,xlsr_fr,whisper_en_per_seg,whisper_en_cont,xlsr_en
seg_0014,31.38,36.86,5.48,"Pour l'instant, c'est quand même en termes de temps rentable aussi",our linstante cest une vraie question pour linstances quant même en termes de temps rentable ausi,"For now, it's a real question. For now, it's also in terms of profitable time.","But for now, it's a real question. For now, it's still in terms of time, it's also profitable to take the car.","For the moment, it’s a real question, well, for the instant, it is even in terms of recoverable time, even if in times of low, and also times of high."
seg_0015,36.86,37.7,0.84,de prendre la voiture.,prende la voiture,I'm going to take the car.,it's also profitable to take the car.,Take the car.
seg_0016,38.32,39.54,1.22,Ça va plus vite qu'à pied.,ça va plus vite qua prie,It goes faster than it took.,It goes faster than taking the car.,It goes faster than it does.
seg_0017,39.94,42.84,2026-09-02 00:00:00,"Sur le coup, je me dis je vais mettre cinq minutes,",sur le coup je me dis je vais metre cinq minutes,I think I'll put 5 minutes,"On the other hand, I say to myself, I'm going to put five minutes.","On the counter, I say, I’m going to put on five five minutes on... on the counter... On the Counter... I’ll put on on on the... on... On... on on...... On the... On on the turn... I tell myself, I will put on three five minutes and five minutes... on this... on that...... on...... on. On... On this... On that... on me, I am saying I will five five minute on five minutes. On on...On... on top... on... On... “ on... ” on...on... on! on... “ On......... on on... on this. on... ‘ on... above... on- on... in... on: on... over... on my... on, on... upon... on; on.... on on.... on...... on... at... on...) on... Over... on all... on — on... ON... on [...] on... [ on... by... on – on... - on... of... on...” on... oh... on for... on you... on..... on... alone... on him... on bill... on there... on du... on cou... on bas... on your... on with... on go... on de... on boss... on stand... on opposite... on out... onbas... onsur... on le... on touch... onions... on hol... on it... on take... onface... on pas... on check... on ball... on behalf... on cash... on guys... on cards... on en... on Maurice... on online... on poker... on ac on..... on... auf... on suit... on surface... on account... on bil... on On... : on... al... on fou... on mark... on $10... on mes... on ten... on checking... on insurance... on bras... on mine... on bon... oncell on...isch on... Indo... on des on... if on on top... on...... on Cancer... on cancer... on computer... on click... on dem... onover on...! on onion... on sports... onaccord... on dress... on other... on tab... on bag... on wall... on surf... on sini... onOn on... informatic... on press... ons... onable... on Top... on person... on can... on scan... onvis on ont... on tone... on game... on bet on on button"
seg_0018,43.3,46.68,3.38,"mais le temps de me garer, de tourner, de faire des ronds",ais le temps de me garer de tourner de faire desrons,"But the time to straighten, to turn, to make circles...","But the time to park, to turn, to make circles so as not to park badly and everything, I know I'm losing.","But the time is enough for me the time time to turn around, but the time — the time.... the time... the time, but... the distraction. but... it’s all the time。 but... what hur hur hur Hur hur but...... but... with the time; but... but... as the time!...... but...... with the money, but... the... but... with making disrupberberber but... because there is enough time time time enough enough enough, but – but... there is the timetime time time Time time enough, though... but — but... when the timeTime time time is time enough?... but — well, the timetimes time time timer, but — — but — oh well, but but — the damn time time tim time time — time time patience time timethough, butBut — but... but but... The time time has enough enough time enough time, however............ the Time time time times time time... time time fast fast fast, but [...] the time Time Time time — but but...the time time, the Time Time Time — but the Time — the TimeTime time Time...... while the time TIME time timeTime, but, the Well, the Times time time how, the but... time time – but... time — — the Tim Tim Tim time time though, but But...... the worst time time but... What — but anyway — but – the timethough — but But but — what — the — time — if the time – time time al time time energy time time... but but but the — but what time time the time enough — time, time time tor tor time time than...... exchange exchange exchange making making making w w w car car car but but, but what the time but — where the time though... the — — — time Time — though the time having time time really time time matter...... my time time However...... time Time enough enough — but, time Time the time timer time time Eh...... time enough... time though — but I have time time Hmmm... the but but But the Time enough time — though — time enough Time time though though, the Who Who Who... the Time, the weather time timetimestimes time, though...... what what time... but But But But but themone... the timer time — But But... the moment time time- time timetime... the tempo...... THE time time pace, thethoughthoughthough...... But but"
seg_0019,46.68,49.64,2.96,"pour pas mal me garer et tout, je sais que je suis perdante.",pour ps mal me garer tout je sais que je suis perdante,"to not get in my way, I know I'm losing.","so as not to park badly and everything, I know I'm losing.","I don’t care for anything, I know that I’m Parnane."
seg_0020,50.1,51.28,1.18,Je sais que je suis perdante.,du sait que je superbe,I know I'm a pervert.,I know I'm losing.,I’m losing my sack!
seg_0021,51.3,55.46,4.16,"En fait, vous êtes maintenant perdante, mais quand même, il y a le...",vous êtes maintenant perdante mais quant même yale ya la delui,"You are now lost, but there is still the soul.","So in fact, you are now losing, but still there is... There is the...","You’re now losing yourself, but there’s still time."
seg_0022,55.46,58.46,3.0,Il y a un côté de facilité de passer devant sa voiture,oui un côté de facilité de paser devant sa voiture,He had the ease of passing in his car.,"Yes, there is a side of ease to get in his car","Well, an easy way to get through cars in his car."
seg_0023,58.46,61.94,3.48,"et de se dire bon, je la prends et voilà.",et dese dir bomb a je l'aprend et,and to think that I'm learning it.,"and to say to yourself, well, I'm taking it and...","And to say it... Well, I take it from him, and... and and...... and...... and... And... and here... and you... and... and...... and there... and then... and — “... and that... and she... and, ” and.... and... et... and! and..."
seg_0024,62.82,64.2,1.38,"Bon, dans mon avis, c'est pas très malin.",il ce pos très malad,"In my opinion, it's not very smart.","In my opinion, it's not very smart.",My grandmother is a very sick person.
seg_0025,64.52,66.66,2.14,"Je sais que c'est une habitude, en tout cas, que j'aimerais changer.",e sais tune habitude en tout cas que jamerais change,It's a habit that I'd like to change.,"I know it's a habit, in any case, that I would like to change.",I feel in any case I would like to say that I could change it in any way I want to change it.
seg_0026,67.28,72.3,2026-02-05 00:00:00,"Et alors, comment vous vivez la politique de la ville de Paris,",et alors coment vous vivez les politique de la vile de paris,How do you live the Parisian politics?,"And so how do you live the politics of the city of Paris,","So, how do you live up to the Paris city’s politics policy?"
seg_0027,72.78,75.66,2.88,qui est une chasse aux voitures ?,ja bune chase aux voitures,Let's go for it!,which is the city of car chases?,Take a shot at the car.
seg_0028,77.1,78.42,1.32,Je suis pour...,j suis pour,I am for...,"Well, I'm for...",I am for it.
seg_0029,80.4,86.4,6.0,"Je suis pour, en rentrant dans un processus que je n'aime pas trop",je suis pour en rentrant dans un procesus que je naime pas trop,I am poor by entering a process that I don't like very much.,You are for... I'm for entering a process that I don't like very much towards myself.,"I’m for it, entering into a process that I don’t like too much."
seg_0030,86.4,93.86,7.46,"vis-à-vis de moi, c'est-à-dire qu'il faut me mettre des limites",avi de moi cest-à-dire que il faut me metre dalir e faut quand même me metre des limites,"I mean, I have to set limits.",I'm for entering a process that I don't like very much towards myself. That is to say that I must put limits on myself,"vis-a-vis me, that is to put limits, and even limits are limits."
seg_0031,94.28,97.72,3.44,"pour m'empêcher de prendre la voiture, alors que ça devrait venir de moi.",pour mempêcher de prendre la voiture alors que ça devrait venir de mois,"to prevent me from taking the car, while it should come from me.","to prevent me from taking the car, while it should come from me. You are waiting for the city of Paris,","To stop to take the car so that it may come from mine, it should be from me."
seg_0032,97.9,101.62,3.72,"Vous attendez de la mairie de Paris, qu'elle prenne un gros bâton",atendes qu'ele erite paris qu'ele prene un gros balton,"I was waiting for the Parisian wedding, for it to take a big hit.","You are waiting for the city of Paris, for it to take a big step and tell you to step on it.","You were waiting for the meeting of the meetings in Paris, that she would take a group of high-alts. You are waiting for a meeting in Paris."
seg_0033,101.62,103.02,2026-04-01 00:00:00,et qu'elle vous dise à pied.,u quel menite à pied,Okay.,for it to take a big step and tell you to step on it.,and she tells me standing at feet.
seg_0034,103.18,106.06,2.88,"Sur ce domaine, oui, parce que je pense que je suis très malade.",sur ce domaine oui parce que je pense que je suis très malade,"In this field, yes, because I think I'm very sick.","On this field, yes, because I think I'm very sick.","On this subject, yes, because I think I am very sick."
seg_0035,106.2,106.8,0.6,C'est...,ayez jeral,,"I don't always have this thought about other fields, but on this one, yes.",I’m sorry to be late.
seg_0036,106.8,109.88,2026-08-03 00:00:00,"Bon, j'aurai pas toujours cette pensée sur d'autres domaines,",je nai pas toujours cete pensée sur de de domaine,I don't always have this thought about other areas.,"I don't always have this thought about other fields, but on this one, yes.","Well, I will not always think on other domains."
seg_0037,110.7,111.82,2026-12-01 00:00:00,"mais sur celle-là, oui.",sur cele-la oui,"on this one, yes.","I don't always have this thought about other fields, but on this one, yes.","On that one yes, yes."
seg_0038,113.32,115.12,2026-08-01 00:00:00,"Voilà. Par contre, j'ai essayé le Vélib",par comtre jai esayé levr libre,I tried the V-Line,"On the other hand, I tried the Vélib two or three times by putting my blue card.","By the way, I tried to do the velib."
seg_0039,115.12,117.78,2.66,"deux, trois fois en mettant ma carte bleue.",de trois fois en metant ma carte bleue,I repeat 2 or 3 times,"On the other hand, I tried the Vélib two or three times by putting my blue card.","two two three two three times by giving me my fours, by putting me my card card, by two threess."
seg_0040,117.96,120.18,2.22,"Et c'est un mystère pour moi, donc il faudrait que j'aille à ma banque",cest un mystère pour moi dont il faudrai que j'ailer ma banque,"It's a mystery to me, so I should go to my bank.","And it's a mystery for me, so I'll have to go to my bank and take care of it.","This is a mystery for me, so I have this mystery for my bank bank, then I should have my bank’s bank bank my bank, I......this is a my my myst ester for myself, therefore I. bank my my bank... bank my. bank bank... I. my my.. bank...... I would have my banker my bank... I. Bank my bank.. my bankbank my bank.. I. My bank bank bank.... I bank my...... my bank banque my my... bank..... because my bank from my my budget... I’s my banks...... that is my my banker’s... my... my my...... my my friend’s... my... My bank...... this is my mystery...... as my my My my...... mystery... So, my my...).... My my my mystery, I......... My... my... bank... This is my...my my my masterst...... bank bank... That’s your bank... From my bankbas... I my bank...” bank... Because I bank... It is this mystery... My.... bank...... I... bank this...... As my my MY bank... Bas......... I............ this is... my My...... my bankststst...... Therefore I my my – bank... ” bank... bas....... I... my....... This... my banker...... And...... because...... Your bank... Is......This is my My My My......ist...... My bank............... I I......... This is this my myMy bank... fragilt...... For......I...... and my my!...... infidel...... Then I. I my. my.... bank. bank.... I I.... my..... This.. My.. Bank...... Since...... Because...... Here bank... this... bank. I bank bank I. This......that...... Inde......it......from my bank & my bank basse...... etc...... “...... thu...... Therefore I.his bank... my bak...... In...... There...... insurance my bank B...... Well...... Et...... therefore my bank Buffet........ I my Bac bank... Therefore....... I there my bank BANK...... Thu......ITS my bank insu...... étant......"
seg_0041,120.18,123.64,3.46,"et que je m'en occupe quand même, puisque ma caution,",q je men ocupe quand même puisque ma caution,"I'm still taking care of it, since my cushion...","And it's a mystery for me, so I'll have to go to my bank and take care of it. Since my cash, when you put your blue card,","I still take care of myself, since my worry..."
seg_0042,123.68,126.18,2026-05-02 00:00:00,"quand on met sa carte bleue, qu'on n'a pas de carte d'abonnée,",quand ton met sa carde bleue quon na pas de carabone,"When you put your blue card, you don't have a subscription card.","Since my cash, when you put your blue card, you don't have a subscription card,","When you put your card card cards in the banks, there’s no bank cards to pay."
seg_0043,126.34,130.6,4.26,"ma caution, il y a écrit caution, 150 euros, je valide et elle m'est refusée.",cation mais a écrit coution cent cinquante roge valide et almerfusé,I had thejournal for 150 euros and I Louis Fraser.,"my cash, it says cash, 150 euros, I validate and she refuses me.","Coccoccocco is an all-coccoccos by COSCOSCOS.......coccos is a mix of coccos,...cocoction is an equally-valid and almer fused."
seg_0044,131.58,133.96,2.38,Même si il y a quand même des sous sur le compte.,ême sioya quand même il aya des sous sur le conte,even if there are some problems.,Even if there are still money on the account.,"Even if there’s, even though there are some doubts in the count of the tale as well as in the book of the account."
seg_0045,134.42,136.32,2026-09-01 00:00:00,"Donc voilà, je n'ai pas eu droit encore.",je nai pas eu droit encore,I haven't had the right yet.,So I haven't had the right yet.,"Well, well, I wasn’t still no longer right... So I wasn not still not still no right again... Well, I still didn’t... Well... So... I wasn... Well Well... I still...... So I still, Well...... I... Well! Well... Then I wasn No longer... Well. Well... Well So... So, I Still... So Well...... Well... Now... I didn... Well... Well Well Well, So... Then... So So... Well Then... I haven... WellWell... So... So... But Well... My right still... Then Well... Be Well... Again... So There Well... Therefore Well... And Well Well... So Well Well Then Well Well) Well... ” Well Well So Well... I... Then So...... Then Well So So So Well, Well Well OK Well... Anyway... Well I... So Look Well... For Well Well Long Well..."
seg_0046,136.76,138.46,2026-07-01 00:00:00,Je n'ai pas réussi à accéder.,jai pas réusi à acéder,I didn't manage to access it.,"I haven't managed to access... And the two routes, you won't dislike?",I did not succeed in gaining access.
seg_0047,138.62,141.6,2.98,"Le deux routes, vous ne déplérez pas ?",e de routeça vous déplairait pas,You won't dislike the two roads.,"And the two routes, you won't dislike? The bike too, to try once.",The two roads will not displease you.
seg_0048,141.6,145.1,2026-05-03 00:00:00,"Le vélo aussi, pour essayer une fois, non, mais je crois que je suis comme...",le vélo-sous pour esayer une fois non mais je crois que je suis come jai jamais,"The bike too, to try once. No, but I think I'm like I've never done.","The bike too, to try once. No, but I think I'm like... I've never done almost the bike of my life as a real Parisian.","The ringlet, to one the time, to try once again, maybe one the ringlet. One the ring the ring, wait one the the the ringle the ring le le le the the rool.. If the the bell the ring... Le the the ball.. The the the alarm.."
seg_0049,145.1,148.36,3.26,J'ai fait quasi le vélo de ma vie en tant que vrai parisienne.,fait quasi de vélon de ma vie en tant que vrai parisiene,I almost rode my life's bike as a true Parisian.,I've never done almost the bike of my life as a real Parisian.,"As a real Parisian and as a true Parisian from Paris, and as as a Parisian in Paris, she was like her life, and she was a true Parisian and a Parisien."
seg_0050,149.04,151.8,2.76,"Et en étant très peu parti à la campagne, je ne suis pas très à l'aise,",est entra veu partir à la campagne chu par pas très àlaise,I am not very comfortable being very little out in the countryside.,"And being very little going to the countryside, I'm not very comfortable.","I’m not very happy to be leaving the campaign country, I am not very tired, not very well-dressed, I don’t really tired at being out of the campaign campaign, I wasn’t very tired at that."
seg_0051,152.56,153.92,1.36,mais pour faire des petites distances.,pour faire des petites distances,to make small distances.,But to make small distances...,To make small small distances to make small short distances.
seg_0052,154.12,156.22,2026-01-02 00:00:00,"Aux filles, à quel âge ?",o files au tel âge,this little guy,"How old are your daughters? So, 17 and a half and 15.",How do you like your daughter?
seg_0053,156.22,157.98,1.76,Alors 17 et demi et 15 ans.,alors dix-sept enemis et quinze,So 17 and a half and 15 years old.,"So, 17 and a half and 15.","So, seven seven and 7 well Well, so, 17 seven and 17 and 15 therefore, so — seven seven seven eight and 17 so, then — 17 seven seven Eigh Well Well,... 17 17 17 18 and 15 15 15 16 So, so therefore, 17 Seven seven and 7."
seg_0054,158.24,159.98,1.74,Elles sont aussi des accros de la voiture ?,oncsi désacran que la voiture,,Are they also addicted to the car?,The car is not like the car.
seg_0055,163.04,166.38,3.34,"Non, elles marchent, elles ont tendance à...",e nom ele marche els n els ont tendanceà,"No, they walk, they tend to...","No, they walk, they... No, no, they tend to...","No, no! They walk, walk, walking, walking. They are tending to tend to do."
seg_0056,166.96,170.44,3.48,"Non, non, elles adorent marcher, puisque je peux me dire,",n eles adorent marché puisque mo volà je peux me dire,"No, they love walking. Because I can tell myself...","No, no, they love to walk. Because I can tell myself,","No, no, they love walking... since they love to walk... well, well, I can say that... well... I love walking.... that she love walking! Well, you can call her... “walk walking walking... ”.... I can call herself “walk.... “... ”... “no, “......”... “s calling... “No, ”......... “do Walking......... “...... walking...... ” —... “.........?...... Oh, “....... walking...............”......“.......... for nothing...... for...... For......for......des.............. –...... women......nice...... March...... marches...... march...... because...... she...... is...... sleeping walking... for walking...? Well,...... oh,...... for...... walk...... since......cady...... shopping...... while...... -...... che...... Well...... I......can...... saying...... That...... Can call me...... what......say......Can......that......mine...... So......you can... call...... Cannes......de......sordon...... Desno......but......maybe......play...... then......yes...... Since...... Mother......of......is......now...... why......watch...... cause......sof......to......dodo......so......Well......if......persom......and......from......no...desdesdes...for-......the......not......by......other......thanno...nono...No......Don......No....nothing......or......stop......se......good......while......stin......well......me......I can......some......fa......fe......l......was......my......with......spece......her......it......all......she......lando......then......what......change......s...nomore......one......this......com......minu......un......bet......just......les......ther......let......how......word......sou......said......menu......be"
seg_0057,170.5,173.26,2.76,"mais je viens de chercher, tu finis tard, tu seras...",je vienes de chercher tu finis tard tu seras un voila,"I just picked you up, you're late, you'll be...","but I just got here, you're late, you'll be...","I am coming to look for me, you will be late late late, late late — there you go, there you — You’ll be late — late — soon — You will be there — Here — There you — — I will come late late. If I am looking for you, you late late early, you are late late! You — — You — That — So, there it — Here you — It — Well — That time, when I will go late late Tar Tar Tar late, you — When I will be — Later late late... You — There — You Will Be Here — Time late late I — Whenever I — I — If I will find myself — You late late tar late late; You — When late late long — — So late late soon — So — So that — That I — — — Here Here — That... That — That You — I I — Where I — Well I — So I — Wait I — What I — Who I — Oh I — You I — Me I — Then I — Once I — But I — “ I — if I — Even I — Though I — Hey I — Since I — And I — While I — From — I * I — Was late late a late late when — When — You Are late late Too late late? You late — When When I — That late late A late — — When You — You You — Sud late late La late late... You — So So — You Co I — There Here — — That That — — There I — Here I — Now — That Here — You Here — When Well — When If I — She I — Time I — How I — As I — Ah I — God I — Some I — Do I — Ala I — Sorry I — Soo I — Fast late late fast — When... When I I I... When When — If If — If — When when I — Till I — Although I I When I When — I When When When If — I If I I If — — If if I I Where — I... I — Boy I — when I I wait I — ” I — Because I — where I — Sometimes I — Which — When you — If when I When when — I already — If When — When ( When I If If If I Yay I — Of When I... If If When When when when — You When — Where — When Wait I I Who — When Who — I Oi I — Why I — Yes I — In — When Where"
seg_0058,173.26,175.38,2026-12-02 00:00:00,"Non, non, non, laisse-moi marcher, laisse-moi marcher.",non non non laise pois marchér laisemon au marché,"No, no, no, let me walk, let me walk.","but I just got here, you're late, you'll be... No, no, no, let me walk, let me walk.","No, no, no! Let’s walk, let’s go for a walk. Let us walk."
seg_0059,175.68,177.16,1.48,"Donc, non, non, pareil qu'elles marchent.",enen a pareit quele marche,"No, no, it's the same, it works.","So no, no, it's the same, they walk.","No, no, no... by some one she walks."
seg_0060,177.36,179.54,2.18,Elles ne prennent pas le métro pour faire 400 stations.,renes pas le métro pour faire quatrecent stations,We don't take the subway to make 400 stations.,"They don't take the subway to make 400 stations,","don’t take the Metro to take the train to take to go take the subway to go to take take the metro to take four-s/ take the under taking to take, to take it take the motorway to take make four-use take take take.... take take this train to make make for four-and- take take taking the subways to make for taking taking taking take taking take take Take take taketake take take do take take then take take go take take give take take use take take s/ take takedon take take / take take on take take get take take and take take - take take – take take... take take try take takeTak take take you take take pull take take learn take take S/// take go go take/take take/ taketaketake take taking taking/ take/to take take make make make take take/ make make go take taking take take tak take take TAK take take U take takeU take take I take take T take take Tren take take don don don take take Donna take take Irene take take they take take there take take that take take so take takeuden take take takes take take IT take take took take take using take take choose take take Baden take take dont take takeUSE take take tee take take cause take take taken take take thu take take vzal take takemedia take take dra take take plu take take přičemž take takeDo take take are take take ( take take press take take! take takeTEN take take u take takeuse take//useuse take taking//take taking take/use taketake/ take taking Take take takingtake take Take taking take Take Take take Taketake taketake Take take/ / take/ Take taketake / take taking go take Take/ take maketake take ten take take these take take twenty take take-/ take-take take go/ take take take make take/provi take take Berlusconi take take capri take take t take takeappropria take take or take take donna take take fail take take Bere take take& take take Lenovo take take Bahn take take? take take/2004 take take re take taketab take take dost take takedona take take tren take takemenu take take mean take take well take take ura take take schools take take university take takepress take take some take take le take taketri take take corri take take fan take takeIT take takepropos take take tram take take Universiti take take bank take take” take take Penn take take water take takedraw take take it"
seg_0061,179.74,181.12,1.38,"Elles ne prennent pas le métro, elles y vont à pied.",ese ne pas de mitro et y ons à pied,"Don't take the subway, go on foot.","they don't take the subway, they walk.",Don’t take a metro train or go standing feet.
seg_0062,181.52,182.52,1.0,D'accord.,el le queurt,Thank you.,,Quiet.
seg_0063,183.94,189.74,2026-08-05 00:00:00,"Alors, si on revient en arrière, donc, à votre enfance,",alors si on revient en arière donc à votre enfance,So if we go back to your childhood...,"So, if we go back to your childhood,","So, if we come back to your childhood, then to your late childhood."
seg_0064,191.68,197.74,2026-06-06 00:00:00,"ce 11e, tu étais quoi une enfance, une petite fille ?",onzième test det quoyi une enfance petite filer,What was your childhood like?,"in the 11th, what was your childhood, your little daughter? In the 11th district, near Place Voltaire.",The eleventh was a little girl’s child.
seg_0065,197.74,200.54,2026-08-02 00:00:00,Un 11e arrondissement près de la place Voltaire.,l deuxième arondisement près ca piace-walter,"and the industrial development board, near Bulter Square.","In the 11th district, near Place Voltaire.","Ninth arrondissement, near Capiz-Voltaire."
seg_0066,200.54,206.72,6.18,"Oui, moi, j'ai le souvenir d'avoir vraiment...",eun oui moi jei le souvenir davoir vraiment feme,"Yes, I have the memory of having...","In the 11th district, near Place Voltaire. Yes, I have memories of having really...","Yes, I have memories of really having a wife."
seg_0067,206.72,207.96,1.24,"Enfin, mais oui, mais le plus beau moment,",mes houe mes plus beaux moment,"But yeah, the best moments...","Well, yeah, but the best time, I think,","But......but... but more Beau Beautimes, but... but... more beautiful... but worse... but better... but but... worse worse worse...... but...... more beautiful moments......... but but... more more beautiful times... but... but more more warmer... but worst worse worse... but...... more Beau...... ” but...... but less hap hap hap... but — but... bright... more more more... more Beautimes...... But............... but even more more gent... more... but most Beau Beau Beau... but?... but worse worse hap hap............... and... but the more more hap haptimes... but with more more pleasant... but sweet... more hap...... worse worse worst... butBut... more worse worse more...... more... but better hap hap worse...... But... but dar dar... but at more more Beau moments... but really...... better...... faire faire... but ma... but it more more ble worse worse moment... but this... but these... but those more more brighttimestimestimes......"
seg_0068,207.98,211.2,3.22,je crois que c'est de jouer après l'école au ballon dans la rue.,ces de jouer après l'école au balon dans la rue,"I think it's playing after school, with the ball in the street.","Well, yeah, but the best time, I think, is to play after school, with the ball in the street.","I think it’s to play at school after school, at school, in the swing in the corner in the street, behind school...at school."
seg_0069,212.4,215.12,2.72,J'étais... mes deux parents travaillaient beaucoup.,jétais mes deux parents travailer beaucoup,My two parents worked a lot.,I was... My two parents worked a lot.,I loved to have both parents working a lot.
seg_0070,215.76,220.14,4.38,"Donc, alors, un père grossiste en peinture",que alors impar grosisent en peinture,and makes a pair grow up…,"So... So, a father who was a painter and a mother","Then, a pear-gros father is painting his painting."
seg_0071,220.14,223.96,3.82,et une mère vendeuse dans un magasin de papier peinture.,et une mere vendeuse dans un magasin de papier peint peinture,and a mother selling paintings in a paper shop.,"So, a father who was a painter and a mother who was a saleswoman in a paint shop. So, a single daughter.","And a mother and a seller in a magazine with papers, paintings......and a magazine."
seg_0072,224.18,225.2,2026-02-01 00:00:00,"Donc, fille unique.",donque file unique,unicycle,"So, a single daughter.",So that’s a unique girl.
